DistrictName,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,% Kindergarten,% 1st-8th,% 9th-12th,White,Black_AfricanAmerican,NativeAmerican,Asian,Other,<10k,10k-15k,15k-25k,25k-35k,35k-50k,50k-75k,75k-100k,100k-150k,150k-200k,200k<,% with Computer,% with Internet
Manhattan Beach Unified School District,CA,6719.0,Online Only,Yes,Yes,Yes,Yes,Not required,Required for all students,Yes,Yes,Never closed,No,0.057564575645756455,0.6022140221402214,0.34022140221402214,0.867,0.006,0.02,0.201,0.051000000000000004,0.017,0.0,0.005,0.015,0.033,0.05,0.061,0.13699999999999998,0.078,0.606,1.0,0.992
Manteca Unified School District,CA,26770.0,Online Only,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Unknown,0.08803827751196172,0.5963636363636364,0.31559808612440193,0.665,0.099,0.057,0.18,0.146,0.027000000000000003,0.023,0.057,0.07200000000000001,0.11599999999999999,0.22,0.172,0.19399999999999998,0.077,0.043,0.966,0.905
Maricopa Unified School District,CA,8653.0,Hybrid,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,0.039473684210526314,0.7236842105263158,0.2368421052631579,0.963,0.0,0.0,0.063,0.038,0.08800000000000001,0.059000000000000004,0.147,0.147,0.147,0.17600000000000002,0.11800000000000001,0.11800000000000001,0.024,0.0,0.971,0.794
Mariposa Cnty Unified Sch Dist-Ofc of Ed,CA,1720.0,Online Only,Unknown,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Unknown,0.08958837772397095,0.5665859564164649,0.34382566585956414,0.9329999999999999,0.01,0.07200000000000001,0.019,0.0,0.006999999999999999,0.035,0.11900000000000001,0.091,0.13699999999999998,0.158,0.172,0.13699999999999998,0.13,0.011000000000000001,0.972,0.909
Alpine County Unified School District,CA,151.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,0.0196078431372549,0.5637254901960784,0.41666666666666663,0.61,0.0,0.46299999999999997,0.073,0.0,0.073,0.0,0.073,0.073,0.073,0.073,0.073,0.273,0.182,0.073,1.0,0.909
Martinez Unified School District,CA,4692.0,Online Only,No,Unknown,Yes,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,0.055109070034443174,0.5889781859931114,0.3559127439724455,0.853,0.053,0.042,0.095,0.112,0.026000000000000002,0.001,0.033,0.021,0.046,0.105,0.132,0.273,0.184,0.179,1.0,0.985
Marysville Joint Unified School District,CA,10820.0,Online Only,Yes,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Closed 6-14 days,Unknown,0.09070698088039128,0.6340595820364606,0.27523343708314807,0.7609999999999999,0.08800000000000001,0.081,0.11,0.10999999999999999,0.035,0.055999999999999994,0.08900000000000001,0.107,0.157,0.21,0.14300000000000002,0.133,0.054000000000000006,0.015,0.9740000000000001,0.882
McFarland Unified School District,CA,3974.0,Online Only,Unknown,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,0.09859154929577466,0.6376440460947503,0.2637644046094751,0.9209999999999999,0.001,0.0,0.001,0.078,0.062,0.027000000000000003,0.18,0.21600000000000003,0.23199999999999998,0.155,0.066,0.027000000000000003,0.034,0.0,0.6509999999999999,0.615
Twin Rivers Unified School District,CA,31282.0,Hybrid,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Unknown,0.08436837322023628,0.6331414722811269,0.28249015449863674,0.618,0.184,0.03,0.127,0.176,0.073,0.061,0.10400000000000001,0.134,0.163,0.204,0.11900000000000001,0.098,0.03,0.013000000000000001,0.965,0.86
Fieldbrook Elementary School District,CA,140.0,Online Only,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,0.031007751937984496,0.9689922480620154,0.0,0.846,0.0,0.077,0.031,0.154,0.0,0.0,0.0,0.105,0.042,0.316,0.105,0.368,0.042,0.042,1.0,1.0
Mckinleyville Union School District,CA,1167.0,Online Only,Unknown,Unknown,Yes,Yes,Required for all staff,Unknown,Unknown,Yes,Closed 6-14 days,Yes,0.10669975186104219,0.8933002481389579,0.0,0.878,0.062,0.07200000000000001,0.006999999999999999,0.065,0.0,0.016,0.106,0.106,0.212,0.135,0.086,0.159,0.069,0.106,0.988,0.988
Northern Humboldt Union High School Dist,CA,1720.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,0.0,0.0,1.0,0.794,0.057,0.22899999999999998,0.022000000000000002,0.045,0.039,0.016,0.051,0.09,0.184,0.109,0.063,0.309,0.07400000000000001,0.066,1.0,0.9570000000000001
Placer Hills Union School District,CA,772.0,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,0.1336206896551724,0.8663793103448275,0.0,0.9590000000000001,0.008,0.040999999999999995,0.054000000000000006,0.02,0.02,0.0,0.04,0.02,0.046,0.106,0.146,0.285,0.159,0.166,1.0,0.98
Mendota Unified School District,CA,3573.0,Online Only,No,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,0.08687943262411349,0.6294326241134752,0.28368794326241137,0.495,0.005,0.003,0.0,0.514,0.061,0.061,0.309,0.182,0.16899999999999998,0.162,0.025,0.028999999999999998,0.003,0.0,0.825,0.545
Las Lomitas Elementary School District,CA,1390.0,Hybrid,Unknown,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Yes,0.07277628032345014,0.9272237196765498,0.0,0.7390000000000001,0.069,0.037000000000000005,0.267,0.0,0.061,0.0,0.0,0.047,0.019,0.038,0.07,0.085,0.07,0.61,1.0,1.0
McSwain Elementary School District,CA,836.0,Online Only,No,Unknown,Yes,Yes,Required for all staff,Not required,No,Unknown,Closed indefinitely,Yes,0.06338028169014084,0.9366197183098591,0.0,0.746,0.0,0.013999999999999999,0.162,0.099,0.008,0.0,0.069,0.078,0.127,0.127,0.059000000000000004,0.16699999999999998,0.069,0.284,0.971,0.882
Merced City School District,CA,12109.0,Online Only,Unknown,No,No,No,Pending,Required for high school students only,Unknown,Pending,Closed 1-5 days,Unknown,0.10507948817371074,0.8949205118262892,0.0,0.605,0.091,0.036000000000000004,0.14,0.226,0.079,0.05,0.12,0.128,0.17,0.172,0.11599999999999999,0.08900000000000001,0.046,0.03,0.963,0.9440000000000001
Weaver Union School District,CA,3065.0,Hybrid,No,Unknown,Yes,Unknown,Required for all staff,Unknown,Unknown,Unknown,Closed indefinitely,Yes,0.07625272331154684,0.9237472766884531,0.0,0.51,0.054000000000000006,0.009000000000000001,0.166,0.316,0.08,0.024,0.09,0.188,0.09699999999999999,0.21899999999999997,0.125,0.09699999999999999,0.013999999999999999,0.069,0.972,0.882
Meridian Elementary School District,CA,82.0,Hybrid,Unknown,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Unknown,0.13333333333333333,0.8666666666666667,0.0,0.9329999999999999,0.0,0.053,0.0,0.053,0.0,0.0,0.0,0.0,0.073,0.364,0.182,0.364,0.073,0.0,1.0,1.0
Middletown Unified School District,CA,1593.0,Online Only,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Unknown,0.06209150326797386,0.6601307189542484,0.2777777777777778,0.9390000000000001,0.009000000000000001,0.018000000000000002,0.015,0.058,0.01,0.0,0.067,0.0,0.17600000000000002,0.23800000000000002,0.212,0.145,0.067,0.073,0.9329999999999999,0.9329999999999999
