DistrictNCES,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,Population,Confirmed_Cases_Sept1_Nov17
1903570,Anamosa Community School District,Public,Anamosa,IA,1250.0,Hybrid,Unknown,Yes,Yes,Yes,Not required,Required for all students,Yes,Unknown,Never closed,Yes,226706,56
1903690,Ankeny Community School District,Public,Ankeny,IA,12336.0,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,490161,84
1903850,North Union Community School District,Public,Armstrong,IA,344.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,14813,3
1903850,North Union Community School District,Public,Armstrong,IA,344.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,8886,3
1903930,Atlantic Community School District,Public,Atlantic,IA,1485.0,On Premises,Yes,Unknown,Yes,Yes,Not required,Not required,Yes,Yes,Never closed,Yes,93206,24
1904380,Baxter Community School District,Public,Baxter,IA,390.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,39369,7
1904560,Bedford Community School District,Public,Bedford,IA,540.0,Hybrid,Yes,Unknown,Yes,No,Pending,Pending,Pending,Pending,Pending,Pending,4894,1
1904560,Bedford Community School District,Public,Bedford,IA,540.0,Hybrid,Yes,Unknown,Yes,No,Pending,Pending,Pending,Pending,Pending,Pending,6121,1
1904620,Belle Plaine Community School District,Public,Belle Plaine,IA,562.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,18504,4
1904620,Belle Plaine Community School District,Public,Belle Plaine,IA,562.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,16854,10
1904680,Belmond-Klemme Community School District,Public,Belmond,IA,809.0,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12562,2
1904740,Bennett Community School District,Public,Bennett,IA,90.0,On Premises,Yes,Unknown,Unknown,No,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Unknown,172943,43
1904860,Bettendorf Community School District,Public,Bettendorf,IA,4507.0,Unknown,Yes,Unknown,Pending,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,172943,43
1908610,Davis County Community School District,Public,Bloomfield,IA,1274.0,Hybrid,Yes,Unknown,Yes,Yes,Not required,Not required,Yes,Yes,Unknown,Yes,7044,3
1928200,Twin Rivers Community School District,Public,Bode,IA,60.0,Hybrid,No,No,Yes,No,Not required,Not required,Yes,Yes,Never closed,Unknown,14813,3
1928560,United Community School District,Public,Boone,IA,354.0,Online Only,No,No,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,No,97117,3
1905430,West Hancock Community School District,Public,Britt,IA,631.0,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,No,12562,2
1905750,North Iowa Community School District,Public,Buffalo Center,IA,478.0,Online Only,Yes,No,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,No,14813,3
1905750,North Iowa Community School District,Public,Buffalo Center,IA,478.0,Online Only,Yes,No,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,No,10354,13
1928170,Twin Cedars Community School District,Public,Bussey,IA,430.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,22095,8
1928170,Twin Cedars Community School District,Public,Bussey,IA,430.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,33253,16
1906270,Carlisle Community School District,Public,Carlisle,IA,2208.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,490161,84
1906270,Carlisle Community School District,Public,Carlisle,IA,2208.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,51466,4
1900027,Riverside Community School District,Public,Carson,IA,679.0,On Premises,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,93206,24
1907860,College Community School District,Public,Cedar Rapids,IA,5787.0,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,151140,9
1907860,College Community School District,Public,Cedar Rapids,IA,5787.0,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,226706,56
1906780,Central City Community School District,Public,Central City,IA,517.0,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,226706,56
