DistrictNCES,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,Population,Confirmed_Cases_Sept1_Nov17
200004,Yupiit School District,Public,Akiachak,AK,463.0,On Premises,No,No,No,No,Pending,Pending,Pending,Pending,Pending,Pending,18386,0
200760,Kuspuk School District,Public,Aniak,AK,385.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,18386,0
200001,Lower Kuskokwim School District,Public,Bethel,AK,4310.0,Unknown,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,18386,0
200770,Denali Borough School District,Public,Healy,AK,950.0,On Premises,No,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2097,0
200520,Iditarod Area School District,Public,McGrath,AK,330.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,18386,0
200003,Lower Yukon School District,Public,Mountain Village,AK,2105.0,Hybrid,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,No,Closed indefinitely,Yes,18386,0
200030,Bristol Bay Borough School District,Public,Naknek,AK,99.0,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,836,0
200610,North Slope Borough School District,Public,Utqiagvik,AK,2197.0,Hybrid,No,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,4156,0
101740,Henry County School District,Public,Abbeville,AL,2650.0,Hybrid,Yes,Yes,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Pending,17205,3
101740,Henry County School District,Public,Abbeville,AL,2650.0,Hybrid,Yes,Yes,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Pending,234561,51
101740,Henry County School District,Public,Abbeville,AL,2650.0,Hybrid,Yes,Yes,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Pending,16126,1
1302820,Henry County School District,Public,McDonough,GA,43776.0,Hybrid,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Yes,17205,3
1302820,Henry County School District,Public,McDonough,GA,43776.0,Hybrid,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Yes,234561,51
1302820,Henry County School District,Public,McDonough,GA,43776.0,Hybrid,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Yes,16126,1
5101920,Henry County School District,Public,Collinsville,VA,7927.0,Hybrid,Unknown,Pending,Pending,Pending,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,17205,3
5101920,Henry County School District,Public,Collinsville,VA,7927.0,Hybrid,Unknown,Pending,Pending,Pending,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,234561,51
5101920,Henry County School District,Public,Collinsville,VA,7927.0,Hybrid,Unknown,Pending,Pending,Pending,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,16126,1
100060,Andalusia City School District,Public,Andalusia,AL,1760.0,Hybrid,Yes,Yes,Yes,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,37049,7
100930,Covington County School District,Public,Andalusia,AL,3310.0,Hybrid,Yes,No,Yes,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,37049,7
2801290,Covington County School District,Public,Collins,MS,3435.0,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed indefinitely,Yes,37049,7
100090,Anniston City School District,Public,Anniston,AL,2073.0,Online Only,Unknown,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,113605,45
100540,Calhoun County School District,Public,Anniston,AL,9881.0,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,113605,45
1200210,Calhoun County School District,Public,Blountstown,FL,2306.0,On Premises,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,113605,45
4501250,Calhoun County School District,Public,Saint Matthews,SC,1822.0,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,113605,45
5400210,Calhoun County School District,Public,Mount Zion,WV,1225.0,On Premises,Unknown,Unknown,Yes,Yes,Required for all staff,Unknown,Yes,Yes,Never closed,No,113605,45
100100,Arab City School District,Public,Arab,AL,2369.0,Hybrid,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,83768,16
100100,Arab City School District,Public,Arab,AL,2369.0,Hybrid,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,96774,12
100120,Athens City School District,Public,Athens,AL,3874.0,Hybrid,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,98915,27
3904352,Athens City School District,Public,The Plains,OH,2665.0,Online Only,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Pending,Yes,98915,27
4700120,Athens City School District,Public,Athens,TN,1762.0,Unknown,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,98915,27
102100,Limestone County School District,Public,Athens,AL,9470.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Unknown,98915,27
100210,Auburn City School District,Public,Auburn,AL,9371.0,Online Only,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,164542,16
100450,Brewton City School District,Public,Brewton,AL,1176.0,Hybrid,Yes,Yes,Unknown,Yes,Not required,Unknown,Yes,Yes,Never closed,Yes,36633,9
101350,Escambia County School District,Public,Brewton,AL,4931.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,36633,9
1200510,Escambia County School District,Public,Pensacola,FL,40251.0,Hybrid,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,36633,9
103510,Wilcox County School District,Public,Camden,AL,2015.0,Hybrid,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,8635,8
1305730,Wilcox County School District,Public,Abbeville,GA,1275.0,Hybrid,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,8635,8
102730,Pickens County School District,Public,Carrollton,AL,2966.0,Hybrid,Yes,Yes,No,Yes,Pending,Pending,Pending,Pending,Pending,Pending,32591,9
100630,Cherokee County School District,Public,Centre,AL,4792.0,Hybrid,Unknown,Unknown,Yes,Unknown,Required for all staff,Required for middle/high school students only,Unknown,Unknown,Never closed,Unknown,26196,4
1301110,Cherokee County School District,Public,Canton,GA,43589.0,Hybrid,Yes,Unknown,Pending,Unknown,Pending,Pending,Pending,Pending,Pending,Yes,26196,4
3700780,Cherokee County School District,Public,Murphy,NC,3251.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,26196,4
4501500,Cherokee County School District,Public,Gaffney,SC,10217.0,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,26196,4
103480,Washington County School District,Public,Chatom,AL,3065.0,Hybrid,Unknown,Unknown,Yes,Unknown,Required for all staff,Required for middle/high school students only,Unknown,Unknown,Never closed,Yes,25473,8
103480,Washington County School District,Public,Chatom,AL,3065.0,Hybrid,Unknown,Unknown,Yes,Unknown,Required for all staff,Required for middle/high school students only,Unknown,Unknown,Never closed,Yes,20374,18
103480,Washington County School District,Public,Chatom,AL,3065.0,Hybrid,Unknown,Unknown,Yes,Unknown,Required for all staff,Required for middle/high school students only,Unknown,Unknown,Never closed,Yes,12095,1
103480,Washington County School District,Public,Chatom,AL,3065.0,Hybrid,Unknown,Unknown,Yes,Unknown,Required for all staff,Required for middle/high school students only,Unknown,Unknown,Never closed,Yes,129375,75
1202010,Washington County School District,Public,Chipley,FL,4042.0,Other,Yes,No,Pending,Pending,Required for all staff,Unknown,Yes,Yes,Unknown,Yes,25473,8
1202010,Washington County School District,Public,Chipley,FL,4042.0,Other,Yes,No,Pending,Pending,Required for all staff,Unknown,Yes,Yes,Unknown,Yes,20374,18
1202010,Washington County School District,Public,Chipley,FL,4042.0,Other,Yes,No,Pending,Pending,Required for all staff,Unknown,Yes,Yes,Unknown,Yes,12095,1
1202010,Washington County School District,Public,Chipley,FL,4042.0,Other,Yes,No,Pending,Pending,Required for all staff,Unknown,Yes,Yes,Unknown,Yes,129375,75
1305490,Washington County School District,Public,Sandersville,GA,3190.0,Hybrid,Yes,Pending,Pending,Pending,Not required,Required for all students,Yes,Yes,Never closed,Yes,25473,8
1305490,Washington County School District,Public,Sandersville,GA,3190.0,Hybrid,Yes,Pending,Pending,Pending,Not required,Required for all students,Yes,Yes,Never closed,Yes,20374,18
1305490,Washington County School District,Public,Sandersville,GA,3190.0,Hybrid,Yes,Pending,Pending,Pending,Not required,Required for all students,Yes,Yes,Never closed,Yes,12095,1
1305490,Washington County School District,Public,Sandersville,GA,3190.0,Hybrid,Yes,Pending,Pending,Pending,Not required,Required for all students,Yes,Yes,Never closed,Yes,129375,75
2105760,Washington County School District,Public,Springfield,KY,1771.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,25473,8
2105760,Washington County School District,Public,Springfield,KY,1771.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,20374,18
2105760,Washington County School District,Public,Springfield,KY,1771.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,12095,1
2105760,Washington County School District,Public,Springfield,KY,1771.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,129375,75
3704800,Washington County School District,Public,Plymouth,NC,1689.0,Hybrid,No,Unknown,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Closed 1-5 days,Yes,25473,8
3704800,Washington County School District,Public,Plymouth,NC,1689.0,Hybrid,No,Unknown,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Closed 1-5 days,Yes,20374,18
3704800,Washington County School District,Public,Plymouth,NC,1689.0,Hybrid,No,Unknown,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Closed 1-5 days,Yes,12095,1
3704800,Washington County School District,Public,Plymouth,NC,1689.0,Hybrid,No,Unknown,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Closed 1-5 days,Yes,129375,75
4901140,Washington County School District,Public,Saint George,UT,33475.0,Hybrid,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,25473,8
4901140,Washington County School District,Public,Saint George,UT,33475.0,Hybrid,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,20374,18
4901140,Washington County School District,Public,Saint George,UT,33475.0,Hybrid,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,12095,1
4901140,Washington County School District,Public,Saint George,UT,33475.0,Hybrid,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,129375,75
103030,Shelby County School District,Public,Columbiana,AL,21248.0,Online Only,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Unknown,49024,2
103030,Shelby County School District,Public,Columbiana,AL,21248.0,Online Only,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Unknown,937166,229
2105320,Shelby County School District,Public,Shelbyville,KY,7336.0,Online Only,Yes,Unknown,Pending,Pending,Required for all staff,Required for all students,Unknown,Yes,Closed 6-14 days,Yes,49024,2
2105320,Shelby County School District,Public,Shelbyville,KY,7336.0,Online Only,Yes,Unknown,Pending,Pending,Required for all staff,Required for all students,Unknown,Yes,Closed 6-14 days,Yes,937166,229
100990,Cullman City School District,Public,Cullman,AL,3180.0,Other,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,83768,16
101020,Cullman County School District,Public,Cullman,AL,10624.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,83768,16
101080,Daleville City School District,Public,Daleville,AL,1106.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,49172,16
102480,Morgan County School District,Public,Decatur,AL,8572.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Yes,Unknown,Yes,19276,5
102480,Morgan County School District,Public,Decatur,AL,8572.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Yes,Unknown,Yes,13309,0
102480,Morgan County School District,Public,Decatur,AL,8572.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Yes,Unknown,Yes,21403,4
1303780,Morgan County School District,Public,Madison,GA,3244.0,Online Only,Yes,Unknown,Yes,Yes,Unknown,Required for all students,Yes,Yes,Never closed,Unknown,19276,5
1303780,Morgan County School District,Public,Madison,GA,3244.0,Online Only,Yes,Unknown,Yes,Yes,Unknown,Required for all students,Yes,Yes,Never closed,Unknown,13309,0
1303780,Morgan County School District,Public,Madison,GA,3244.0,Online Only,Yes,Unknown,Yes,Yes,Unknown,Required for all students,Yes,Yes,Never closed,Unknown,21403,4
2104290,Morgan County School District,Public,West Liberty,KY,1978.0,Online Only,Unknown,Unknown,Yes,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,19276,5
2104290,Morgan County School District,Public,West Liberty,KY,1978.0,Online Only,Unknown,Unknown,Yes,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,13309,0
2104290,Morgan County School District,Public,West Liberty,KY,1978.0,Online Only,Unknown,Unknown,Yes,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,21403,4
4900570,Morgan County School District,Public,Morgan,UT,3060.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,19276,5
4900570,Morgan County School District,Public,Morgan,UT,3060.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,13309,0
4900570,Morgan County School District,Public,Morgan,UT,3060.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,21403,4
101200,Demopolis City School District,Public,Demopolis,AL,2330.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,18863,6
101770,Houston County School District,Public,Dothan,AL,7020.0,Hybrid,Unknown,Yes,Unknown,Unknown,Required for all staff,Not required,Yes,Unknown,Closed indefinitely,Yes,105882,21
101770,Houston County School District,Public,Dothan,AL,7020.0,Hybrid,Unknown,Yes,Unknown,Unknown,Required for all staff,Not required,Yes,Unknown,Closed indefinitely,Yes,157863,33
4701920,Houston County School District,Public,Erin,TN,1474.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,105882,21
4701920,Houston County School District,Public,Erin,TN,1474.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,157863,33
100810,Coffee County School District,Public,Elba,AL,2065.0,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,52342,9
1301350,Coffee County School District,Public,Douglas,GA,8294.0,Hybrid,Yes,Unknown,Yes,Yes,Not required,Not required,Yes,Yes,Never closed,Yes,52342,9
101320,Enterprise City School District,Public,Enterprise,AL,7036.0,Hybrid,Yes,Yes,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Pending,52342,9
101320,Enterprise City School District,Public,Enterprise,AL,7036.0,Hybrid,Yes,Yes,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Pending,49172,16
101680,Greene County School District,Public,Eutaw,AL,1742.0,Online Only,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,8111,2
101680,Greene County School District,Public,Eutaw,AL,1742.0,Online Only,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,18324,11
1302490,Greene County School District,Public,Greensboro,GA,2518.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,8111,2
1302490,Greene County School District,Public,Greensboro,GA,2518.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,18324,11
2801590,Greene County School District,Public,Leakesville,MS,2218.0,Hybrid,Yes,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Yes,8111,2
2801590,Greene County School District,Public,Leakesville,MS,2218.0,Hybrid,Yes,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Yes,18324,11
4701470,Greene County School District,Public,Greeneville,TN,6627.0,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,8111,2
4701470,Greene County School District,Public,Greeneville,TN,6627.0,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,18324,11
5101710,Greene County School District,Public,Stanardsville,VA,3340.0,Hybrid,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,8111,2
5101710,Greene County School District,Public,Stanardsville,VA,3340.0,Hybrid,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,18324,11
100870,Conecuh County School District,Public,Evergreen,AL,2336.0,Online Only,Yes,No,Yes,Yes,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,12067,3
101470,Fayette County School District,Public,Fayette,AL,2455.0,Hybrid,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,16302,9
101470,Fayette County School District,Public,Fayette,AL,2455.0,Hybrid,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,114421,24
101530,Florence City School District,Public,Florence,AL,4590.0,Hybrid,Unknown,Yes,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,92729,28
102010,Lauderdale County School District,Public,Florence,AL,9155.0,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,92729,28
2802430,Lauderdale County School District,Public,Meridian,MS,7466.0,Hybrid,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,92729,28
101560,Fort Payne City School District,Public,Fort Payne,AL,3195.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,71513,20
101380,Etowah County School District,Public,Gadsden,AL,9434.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,102268,21
101640,Geneva City School District,Public,Geneva,AL,1307.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,26271,5
101640,Geneva City School District,Public,Geneva,AL,1307.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,24913,0
3611970,Geneva City School District,Public,Geneva,NY,2147.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,26271,5
3611970,Geneva City School District,Public,Geneva,NY,2147.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,24913,0
101660,Geneva County School District,Public,Geneva,AL,2746.0,Hybrid,No,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,26271,5
101710,Hale County School District,Public,Greensboro,AL,3119.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,14651,4
100510,Butler County School District,Public,Greenville,AL,3101.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Pending,Pending,Unknown,19448,5
2100810,Butler County School District,Public,Morgantown,KY,2184.0,Online Only,Yes,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,19448,5
100720,Clarke County School District,Public,Grove Hill,AL,2951.0,Hybrid,Yes,Unknown,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Pending,23622,6
1301170,Clarke County School District,Public,Athens,GA,13729.0,Online Only,Unknown,Unknown,Yes,Yes,Required for all staff,Unknown,Unknown,Unknown,Never closed,Unknown,23622,6
5100870,Clarke County School District,Public,Berryville,VA,1971.0,Hybrid,No,Yes,Pending,Yes,Not required,Required for all students,Unknown,Unknown,Never closed,Yes,23622,6
100006,Marshall County School District,Public,Guntersville,AL,6259.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,96774,12
100006,Marshall County School District,Public,Guntersville,AL,6259.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,31100,7
100006,Marshall County School District,Public,Guntersville,AL,6259.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,34375,11
2802850,Marshall County School District,Public,Holly Springs,MS,3312.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,96774,12
2802850,Marshall County School District,Public,Holly Springs,MS,3312.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,31100,7
2802850,Marshall County School District,Public,Holly Springs,MS,3312.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,34375,11
101800,Huntsville City School District,Public,Huntsville,AL,25327.0,Online Only,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,98915,27
101800,Huntsville City School District,Public,Huntsville,AL,25327.0,Online Only,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,372909,67
102220,Madison County School District,Public,Huntsville,AL,20711.0,Online Only,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,No,Unknown,Never closed,Yes,372909,67
102220,Madison County School District,Public,Huntsville,AL,20711.0,Online Only,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,No,Unknown,Never closed,Yes,29880,9
102220,Madison County School District,Public,Huntsville,AL,20711.0,Online Only,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,No,Unknown,Never closed,Yes,92987,13
1201200,Madison County School District,Public,Madison,FL,2867.0,Online Only,No,Yes,Unknown,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Unknown,372909,67
1201200,Madison County School District,Public,Madison,FL,2867.0,Online Only,No,Yes,Unknown,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Unknown,29880,9
1201200,Madison County School District,Public,Madison,FL,2867.0,Online Only,No,Yes,Unknown,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Unknown,92987,13
1303480,Madison County School District,Public,Danielsville,GA,5296.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,372909,67
1303480,Madison County School District,Public,Danielsville,GA,5296.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,29880,9
1303480,Madison County School District,Public,Danielsville,GA,5296.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,92987,13
2103720,Madison County School District,Public,Richmond,KY,11032.0,Online Only,Unknown,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,372909,67
2103720,Madison County School District,Public,Richmond,KY,11032.0,Online Only,Unknown,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,29880,9
2103720,Madison County School District,Public,Richmond,KY,11032.0,Online Only,Unknown,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,92987,13
3702820,Madison County School District,Public,Marshall,NC,2619.0,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,372909,67
3702820,Madison County School District,Public,Marshall,NC,2619.0,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,29880,9
3702820,Madison County School District,Public,Marshall,NC,2619.0,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,92987,13
101860,Jacksonville City School District,Public,Jacksonville,AL,1635.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,113605,45
100600,Chambers County School District,Public,Lafayette,AL,4454.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,33254,9
101980,Lanett City School District,Public,Lanett,AL,900.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,33254,9
102130,Linden City School District,Public,Linden,AL,499.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,18863,6
102250,Marengo County School District,Public,Linden,AL,1062.0,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,18863,6
103090,Sumter County School District,Public,Livingston,AL,1823.0,Online Only,No,Yes,Yes,Yes,Required for all staff,Unknown,No,Yes,Never closed,Unknown,132420,37
103090,Sumter County School District,Public,Livingston,AL,1823.0,Online Only,No,Yes,Yes,Yes,Required for all staff,Unknown,No,Yes,Never closed,Unknown,29524,11
1201800,Sumter County School District,Public,Bushnell,FL,6025.0,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,132420,37
1201800,Sumter County School District,Public,Bushnell,FL,6025.0,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,29524,11
1304620,Sumter County School District,Public,Americus,GA,4516.0,Online Only,Yes,No,Yes,Yes,Required for all staff,Unknown,Unknown,Yes,Never closed,Unknown,132420,37
1304620,Sumter County School District,Public,Americus,GA,4516.0,Online Only,Yes,No,Yes,Yes,Required for all staff,Unknown,Unknown,Yes,Never closed,Unknown,29524,11
100960,Crenshaw County School District,Public,Luverne,AL,2225.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,13772,2
100008,Madison City School District,Public,Madison,AL,11012.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,98915,27
100008,Madison City School District,Public,Madison,AL,11012.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,372909,67
102670,Perry County School District,Public,Marion,AL,1368.0,Online Only,No,No,No,Yes,Required for all staff,Unknown,No,No,Never closed,Yes,25758,3
102670,Perry County School District,Public,Marion,AL,1368.0,Online Only,No,No,No,Yes,Required for all staff,Unknown,No,No,Never closed,Yes,8076,18
2803570,Perry County School District,Public,New Augusta,MS,1623.0,Unknown,Yes,Yes,Pending,Pending,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,25758,3
2803570,Perry County School District,Public,New Augusta,MS,1623.0,Unknown,Yes,Yes,Pending,Pending,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,8076,18
4703390,Perry County School District,Public,Linden,TN,1104.0,Hybrid,Yes,Yes,No,No,Not required,Not required,Yes,Yes,Never closed,No,25758,3
4703390,Perry County School District,Public,Linden,TN,1104.0,Hybrid,Yes,Yes,No,No,Not required,Not required,Yes,Yes,Never closed,No,8076,18
102350,Midfield City School District,Public,Midfield,AL,1160.0,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,No,658573,177
