DistrictName,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,# K-12,% Kindergarten,% 1st-8th,% 9th-12th,White,Black_AfricanAmerican,NativeAmerican,Asian,Other,<$10k,$10k-$15k,$15k-$25k,$25k-$35k,$35k-$50k,$50k-$75k,$75k-$100k,$100k-$150k,$150k-$200k,$200k<,% with Computer,% with Internet
New Hope Community Cons School Dist 6,IL,190.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,135,7.407407407407407,92.5925925925926,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3.8,9.5,9.5,9.5,19.0,23.8,19.0,9.5,0.0,100.0,90.5
Grant Community Cons School District 110,IL,650.0,Hybrid,No,No,No,Yes,Unknown,Required for high school students only,Yes,Yes,Unknown,Yes,505,18.81188118811881,81.18811881188118,0.0,71.0,37.0,2.9,1.4,0.0,3.0,0.0,3.0,11.9,23.8,7.9,12.9,14.9,10.9,11.9,100.0,100.0
Pontiac-William Holliday School Dist 105,IL,765.0,On Premises,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Unknown,955,9.947643979057592,90.05235602094241,0.0,54.1,52.7,0.0,4.1,0.0,0.0,4.5,3.7,2.2,4.5,14.2,33.6,35.8,2.2,0.0,100.0,87.3
Blue Ridge Community School District 18,IL,765.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,560,3.5714285714285716,55.357142857142854,41.07142857142857,100.0,0.6,7.7,0.0,0.6,0.8,2.9,3.8,13.5,2.9,19.2,24.0,23.1,5.8,2.9,98.1,86.5
Farmington Ctrl Cmnty Unit Schl Dist 265,IL,1429.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1360,8.823529411764707,61.029411764705884,30.147058823529413,98.0,0.7,2.0,4.6,0.3,0.5,0.0,4.4,12.0,7.0,27.8,19.0,19.6,3.8,5.1,96.2,90.5
Fisher Community Unit School District 1,IL,625.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,605,12.396694214876034,55.37190082644628,32.231404958677686,96.3,0.6,0.0,3.0,3.0,1.0,1.0,5.1,2.5,21.5,12.7,16.5,19.0,8.9,11.4,93.7,87.3
Flanagan-Cornell District 74,IL,359.0,Hybrid,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,270,7.407407407407407,62.96296296296296,29.62962962962963,92.9,0.0,0.0,3.6,3.6,0.0,2.9,7.1,7.1,21.4,28.6,10.7,17.9,2.9,2.9,100.0,96.4
Flora Community Unit School District 35,IL,1410.0,Hybrid,Yes,Yes,Unknown,Pending,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,1400,10.714285714285714,60.0,29.285714285714285,94.4,0.6,0.0,5.0,5.0,3.6,3.6,7.7,3.6,19.0,25.0,9.5,17.9,6.0,4.2,99.4,89.3
Homewood Flossmoor High School Dist 233,IL,2800.0,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Unknown,2850,0.0,0.0,100.0,29.1,72.9,1.0,1.7,0.9,1.5,0.0,3.4,4.7,13.4,13.4,25.9,18.9,11.5,7.6,97.5,94.9
Ford Heights School District 169,IL,468.0,Online Only,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Yes,Never closed,Unknown,520,18.26923076923077,81.73076923076923,0.0,26.0,90.2,0.0,0.0,0.0,23.6,14.5,5.5,14.5,16.4,14.5,1.5,5.5,0.0,1.5,89.1,80.0
Forest Park School District 91,IL,960.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,830,14.457831325301205,85.5421686746988,0.0,69.0,27.3,3.7,2.8,2.8,1.6,3.9,3.9,3.9,7.8,22.7,11.7,15.6,6.3,22.7,98.4,96.1
Proviso Township High School Dist 209,IL,5459.0,Online Only,Yes,No,Yes,Yes,Pending,Pending,Pending,Pending,Pending,No,5590,0.0,0.0,100.0,38.4,39.1,0.5,3.3,21.3,4.9,2.1,6.9,6.0,9.9,20.2,16.4,20.9,9.6,3.1,99.3,88.9
Forrestville Vly Comm Unit Schl Dist 221,IL,930.0,Hybrid,Unknown,Yes,No,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Unknown,960,3.6458333333333335,56.770833333333336,39.583333333333336,97.4,3.5,0.0,4.0,0.9,0.7,0.7,5.7,13.9,10.7,24.6,18.9,18.9,4.1,2.5,99.2,86.9
Maroa-Forsyth Community District 2,IL,1247.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,920,6.521739130434782,56.52173913043478,36.95652173913044,89.7,2.8,3.7,10.3,0.0,0.6,0.6,0.6,3.9,8.5,24.8,13.2,26.4,10.1,11.6,98.4,96.9
Grant Community High School District 124,IL,1930.0,Online Only,Unknown,No,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1995,0.0,0.0,100.0,85.2,7.8,0.0,5.8,4.8,1.5,0.9,1.2,7.0,9.8,18.0,13.1,18.9,15.9,13.4,100.0,93.0
Frankfort School District 157-C,IL,2494.0,Online Only,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2710,11.07011070110701,88.92988929889299,0.0,91.2,5.2,0.0,3.6,1.6,1.2,0.0,3.5,0.9,1.2,7.4,9.1,20.9,24.8,31.3,100.0,98.8
Summit Hill School District 161,IL,3001.0,Hybrid,Unknown,Unknown,Yes,No,Required for all staff,Unknown,Unknown,Yes,Closed indefinitely,Unknown,3040,6.907894736842105,93.09210526315789,0.0,91.7,1.0,0.3,13.7,1.1,0.0,0.5,0.9,0.9,6.0,11.6,9.5,37.8,18.1,14.4,99.3,97.4
Franklin Community Unit School Dist 1,IL,325.0,Hybrid,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Yes,345,5.797101449275362,72.46376811594203,21.73913043478261,100.0,0.0,0.0,0.0,0.0,0.0,1.7,6.5,8.7,6.5,21.7,17.4,21.7,10.9,4.3,100.0,93.5
Franklin Park Public School District 84,IL,1380.0,On Premises,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,1030,6.796116504854369,93.20388349514563,0.0,80.4,0.0,3.5,3.5,22.7,1.3,3.3,3.3,12.7,4.7,28.7,18.0,24.7,4.0,0.0,96.0,95.3
Leyden Community High School Dist 212,IL,3350.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,3115,0.0,0.0,100.0,76.3,2.8,0.9,3.3,22.6,3.5,0.6,5.0,7.8,13.0,22.4,21.3,19.3,5.2,1.9,96.7,88.7
Mannheim School District 83,IL,2749.0,Hybrid,Yes,Yes,Unknown,Unknown,Not required,Required for all students,Yes,Yes,Never closed,Yes,2525,11.485148514851485,88.51485148514851,0.0,75.5,0.6,1.3,4.3,21.0,3.5,0.9,9.2,5.2,13.9,20.1,20.8,22.0,3.5,0.9,99.3,82.0
Freeburg Cmnty Consolidated Schl Dist 70,IL,753.0,Online Only,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,830,11.44578313253012,88.55421686746988,0.0,94.8,1.0,2.1,7.2,0.0,0.0,0.0,0.0,0.7,8.4,14.3,15.1,31.1,18.5,11.8,100.0,93.3
Freeburg Community High School Dist 77,IL,630.0,Hybrid,Yes,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,670,0.0,0.0,100.0,97.9,4.2,0.0,1.4,0.6,0.7,4.1,5.8,0.7,1.7,11.6,14.9,25.6,23.1,12.4,100.0,94.2
Freeport School District 145,IL,4136.0,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,4265,12.075029308323565,61.54747948417351,26.37749120750293,78.8,29.2,1.5,2.2,0.9,7.5,5.3,13.7,9.2,24.1,15.6,11.9,8.3,3.6,0.9,96.5,90.2
River Bend Community Unit School Dist 2,IL,996.0,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,980,4.591836734693878,67.85714285714286,27.551020408163264,97.9,2.6,1.7,0.0,0.9,6.0,0.0,9.4,2.6,11.1,14.5,10.3,35.9,8.5,1.7,100.0,98.3
Galatia Community Unit School District 1,IL,444.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,355,5.633802816901408,56.33802816901409,38.028169014084504,98.7,1.1,0.0,1.1,2.2,7.7,1.5,11.5,3.8,1.5,17.3,21.2,28.8,5.8,1.5,96.2,84.6
Galena Unit School District 120,IL,828.0,Hybrid,Yes,No,Yes,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,855,11.11111111111111,54.97076023391813,33.91812865497076,100.0,0.0,0.0,0.0,0.0,0.0,2.9,1.9,9.6,3.8,29.8,26.9,17.3,4.8,3.8,100.0,100.0
Galesburg Community Unit School Dist 205,IL,4507.0,Online Only,Yes,Pending,Pending,Pending,Required for all staff,Not required,No,No,Never closed,No,4420,7.6923076923076925,63.12217194570136,29.18552036199095,77.2,19.3,1.9,2.7,5.8,4.1,6.5,8.8,16.5,13.4,17.6,13.4,12.6,5.5,1.5,94.1,87.4
Galva Community Unit School District 224,IL,589.0,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,610,8.19672131147541,63.9344262295082,27.868852459016395,96.4,3.6,0.0,0.6,0.0,6.8,10.8,8.1,8.1,10.8,21.6,14.9,17.6,1.1,0.0,95.9,81.1
Gardner Cmnty Cons Schl Dist 72-C,IL,185.0,Hybrid,Unknown,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,145,10.344827586206897,89.65517241379311,0.0,100.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,21.1,21.1,4.2,21.1,10.5,10.5,100.0,94.7
Gardner-S Wilmington Township High SD 73,IL,199.0,Hybrid,Unknown,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,195,0.0,0.0,100.0,92.3,0.0,0.0,5.1,2.1,2.3,0.0,2.3,2.3,17.1,14.3,20.0,11.4,22.9,8.6,100.0,94.3
Geff Community Consolidated Schl Dist 14,IL,100.0,Hybrid,Unknown,Yes,Yes,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,84,4.761904761904762,95.23809523809524,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,6.7,33.3,6.7,16.7,6.7,0.0,91.7,75.0
Geneseo Community Unit School Dist 228,IL,2675.0,On Premises,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,2765,4.159132007233273,59.49367088607595,36.34719710669078,98.5,6.3,0.0,1.5,0.0,4.7,0.0,6.8,2.5,6.6,12.6,16.7,30.4,10.4,8.8,99.7,94.5
Geneva Community Unit Schl District 304,IL,6165.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,5765,7.8924544666088465,55.247181266261926,36.86036426712923,96.4,1.7,0.0,4.9,1.8,2.0,3.0,0.4,3.3,4.2,9.9,6.5,25.1,19.2,26.3,100.0,98.7
Genoa Kingston Cmnty Unit Schl Dist 424,IL,1603.0,Hybrid,No,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1595,5.329153605015674,62.06896551724138,32.60188087774295,99.2,7.9,5.5,1.6,0.5,9.6,0.0,3.3,8.6,10.0,16.3,10.5,19.1,14.4,8.1,100.0,96.2
Georgetown-Ridge Farm Cmnty Unit Dist 4,IL,1124.0,Online Only,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,985,2.5380710659898478,58.88324873096447,38.578680203045685,96.3,4.5,0.0,0.0,0.0,6.8,9.5,10.8,6.1,11.5,21.6,10.1,14.2,8.8,1.4,96.6,83.1
Germantown Elementary School District 60,IL,262.0,On Premises,Yes,Unknown,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,210,9.523809523809524,90.47619047619048,0.0,95.8,0.0,0.0,0.0,4.2,6.5,0.0,0.0,2.6,16.1,22.6,9.7,29.0,12.9,2.6,83.9,80.6
Germantown Hills School District 69,IL,880.0,Hybrid,Unknown,No,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,885,2.2598870056497176,97.74011299435028,0.0,98.0,2.4,0.0,2.4,0.0,0.0,3.0,0.0,0.0,6.7,25.4,7.5,33.6,19.4,5.2,97.8,96.3
Gibson City-Melvin-Sibley CMNT Unit SD 5,IL,1055.0,On Premises,Yes,No,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,995,11.557788944723619,65.82914572864321,22.613065326633166,100.0,1.9,0.0,0.3,0.0,2.0,2.6,17.9,7.3,14.6,13.2,17.2,19.9,5.3,0.5,96.0,92.1
Gifford Community Cons Schl District 188,IL,199.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,270,3.7037037037037037,96.29629629629629,0.0,100.0,0.0,0.0,1.2,0.0,2.2,2.2,2.2,2.2,11.1,25.0,19.4,22.2,11.1,5.6,97.2,97.2
Gillespie Community Unit School Dist 7,IL,1403.0,Online Only,No,Yes,Pending,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,1225,11.020408163265307,61.224489795918366,27.755102040816325,95.9,3.3,1.1,3.0,0.7,3.1,8.0,9.2,7.4,7.4,24.5,22.1,15.3,0.5,1.8,97.5,92.0
Iroquois West Community Unit Sch Dist 10,IL,952.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,865,9.826589595375722,57.80346820809248,32.369942196531795,83.0,3.6,0.4,0.4,16.4,0.7,4.5,5.4,13.5,12.6,22.5,16.2,18.0,4.5,0.7,97.3,89.2
North Mac Community Unit School Dist 34,IL,1397.0,Hybrid,No,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1625,5.230769230769231,56.61538461538461,38.15384615384615,99.4,0.6,0.6,1.4,0.0,3.3,4.7,1.4,11.8,18.9,23.1,16.0,14.2,3.8,3.3,99.1,94.8
Illini Bluffs Cmnty Unit School Dist 327,IL,919.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,940,10.106382978723405,58.51063829787234,31.382978723404257,100.0,0.0,0.0,0.0,0.0,1.6,0.0,3.2,7.2,5.6,18.4,20.0,25.6,7.2,11.2,97.6,90.4
Community Consolidated School Dist 89,IL,2178.0,Online Only,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2300,11.304347826086957,88.69565217391305,0.0,79.9,8.5,0.7,18.6,2.5999999999999996,0.9,0.9,1.4,0.9,6.9,14.3,15.1,27.7,11.4,20.6,100.0,96.9
Glen Ellyn School District 41,IL,3642.0,Hybrid,No,Yes,Unknown,Yes,Required for all staff,Unknown,Unknown,Unknown,Unknown,Yes,4300,13.604651162790697,86.3953488372093,0.0,84.5,7.7,2.1,11.3,0.3,2.2,0.1,7.6,1.8,1.3,11.8,6.5,17.5,13.7,37.3,98.8,97.8
Glenbard Township High School Dist 87,IL,9210.0,Hybrid,Unknown,Unknown,Unknown,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,Unknown,8295,0.0,0.0,100.0,70.0,10.4,1.4,18.8,5.800000000000001,3.0,1.7,4.8,5.7,9.4,13.3,11.5,20.9,12.0,17.7,99.0,96.8
Glencoe School District 35,IL,1290.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Unknown,Yes,1535,9.77198697068404,90.22801302931596,0.0,97.4,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,3.5,1.8,0.5,6.4,13.5,73.7,100.0,100.0
Marquardt School District 15,IL,2750.0,Hybrid,No,Unknown,Unknown,Unknown,Required for all staff,Unknown,Unknown,Yes,Unknown,Unknown,2875,9.217391304347826,90.78260869565217,0.0,57.8,14.2,0.5,12.8,20.4,7.7,3.8,6.4,11.5,11.7,21.3,16.8,13.4,5.3,1.9,98.5,91.3
Queen Bee School District 16,IL,1896.0,Online Only,No,Yes,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,2090,11.004784688995215,88.99521531100478,0.0,50.8,14.4,0.2,30.3,16.6,5.0,0.3,1.7,7.6,14.9,20.1,15.8,23.1,8.9,3.0,100.0,97.4
Glenview Community Cons School Dist 34,IL,4900.0,Online Only,No,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,5545,12.894499549143372,87.10550045085662,0.0,84.6,3.2,0.2,15.7,2.6999999999999997,1.0,0.7,3.7,4.7,3.8,7.5,8.8,11.4,14.4,43.8,100.0,97.2
Northfield Township High School Dist 225,IL,5302.0,Hybrid,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Closed 6-14 days,Yes,5220,0.0,0.0,100.0,80.9,1.5,0.4,18.1,2.4,1.0,0.5,2.3,2.9,3.8,8.9,9.3,16.1,14.6,40.4,99.8,98.4
Brookwood School District 167,IL,1212.0,Online Only,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed indefinitely,Yes,1060,8.49056603773585,91.50943396226415,0.0,18.5,69.2,3.5,0.0,11.5,10.6,4.9,15.5,5.6,12.0,12.7,21.8,10.6,7.0,0.0,94.4,91.5
Pope County Community Unit School Dist 1,IL,560.0,Hybrid,Yes,Yes,No,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,440,6.818181818181818,71.5909090909091,21.59090909090909,93.1,0.8,0.0,3.9,5.9,7.5,1.5,11.3,13.2,13.2,13.2,20.8,11.3,9.4,0.0,75.5,73.6
Goreville Community Unit School Dist 1,IL,615.0,Online Only,No,Unknown,Pending,Unknown,Required for all staff,Required for all students,Yes,Unknown,Unknown,Yes,580,4.310344827586207,58.62068965517241,37.06896551724138,99.2,0.0,0.0,0.6,0.0,4.5,1.2,12.1,13.6,6.1,13.6,9.1,30.3,6.1,0.0,87.9,83.3
Grand Ridge Community Consolidated SD 95,IL,205.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,204,1.9607843137254901,98.03921568627452,0.0,97.9,0.0,0.0,1.7,1.7,2.5,2.5,12.5,2.5,12.5,15.6,21.9,15.6,2.5,12.5,100.0,90.6
Granite City Community Unit Sch Dist 9,IL,5901.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,6305,10.467882632831087,62.56938937351308,26.96272799365583,87.4,12.0,1.4,1.1,3.5,8.8,4.2,9.2,9.0,10.7,22.0,12.4,16.3,6.0,1.2,96.7,91.6
Grant Park Community Unit School Dist 6,IL,520.0,Hybrid,No,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,470,4.25531914893617,59.57446808510638,36.170212765957444,94.7,0.8,5.3,0.0,0.8,0.0,0.0,1.3,1.3,18.3,15.0,23.3,26.7,6.7,8.3,100.0,98.3
Putnam County Community Unit SD 535,IL,925.0,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,890,7.865168539325842,61.79775280898876,30.337078651685392,98.5,3.1,0.4,0.0,0.0,0.7,2.7,6.3,10.8,10.8,15.3,19.8,21.6,2.7,8.1,97.3,87.4
Rooks Creek Cmnty Cons School Dist 425,IL,50.0,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,99,4.040404040404041,95.95959595959596,0.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,18.2,18.2,36.4,7.3,18.2,100.0,90.9
Community Consolidated School Dist 46,IL,4548.0,Online Only,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Unknown,3300,9.545454545454545,90.45454545454545,0.0,86.5,6.0,0.3,9.3,4.5,0.9,0.5,3.3,2.3,5.6,16.8,18.2,31.7,11.9,8.6,99.5,96.3
Grayslake Community High School Dist 127,IL,3100.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,2800,0.0,0.0,100.0,84.2,4.2,0.0,12.4,3.3,2.3,1.0,3.8,3.3,4.2,14.0,9.6,27.6,20.7,13.4,99.8,99.2
Grayville Community School District 1,IL,318.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,345,17.391304347826086,56.52173913043478,26.08695652173913,100.0,1.0,0.0,0.0,0.0,0.0,1.6,1.6,14.3,12.2,20.4,34.7,10.2,1.6,1.6,100.0,98.0
Greenfield Community Unit School Dist 10,IL,450.0,On Premises,Unknown,Yes,Unknown,Yes,Required for all staff,Required for all students,Unknown,Unknown,Closed indefinitely,Unknown,395,15.189873417721518,67.0886075949367,17.72151898734177,100.0,0.0,0.0,0.0,0.0,14.9,0.0,1.7,4.3,10.6,25.5,17.0,17.0,1.7,4.3,97.9,80.9
Greenview Community Unit School Dist 200,IL,225.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,295,10.169491525423728,64.40677966101696,25.423728813559322,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,12.5,12.5,31.3,28.1,9.4,6.3,0.0,100.0,100.0
Bond County Community Unit School Dist 2,IL,1906.0,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,1875,8.8,61.333333333333336,29.866666666666667,95.1,7.0,0.0,1.6,0.2,1.2,2.5,8.2,8.6,9.4,18.9,25.8,16.4,5.3,3.7,90.6,81.6
Griggsville-Perry Cmnty Unit Schl Dist 4,IL,420.0,Hybrid,No,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,500,7.0,69.0,24.0,96.6,2.5,0.0,0.7,0.7,3.7,0.0,9.3,7.4,13.0,24.1,13.0,16.7,11.1,0.0,98.1,88.9
Gurnee School District 56,IL,2365.0,Online Only,Unknown,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,2430,10.08230452674897,89.91769547325103,0.0,69.3,27.1,2.1,7.7,9.7,3.0,0.5,2.5,6.0,12.6,29.0,11.8,16.7,10.4,7.1,96.4,92.3
Warren Township High School District 121,IL,4000.0,Online Only,No,No,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,4400,0.0,0.0,100.0,75.8,10.4,2.3,12.6,5.8,1.1,0.7,2.6,3.3,7.7,17.2,12.7,21.8,14.5,18.6,99.3,97.8
Woodland Community Cons School Dist 50,IL,6382.0,Online Only,No,Yes,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Pending,5970,11.976549413735343,88.02345058626466,0.0,73.2,9.0,1.1,16.1,7.2,1.1,0.9,3.6,3.2,8.5,12.7,16.3,25.2,12.7,15.5,98.5,97.3
Hamilton Community Cons School Dist 328,IL,673.0,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,No,Never closed,Yes,580,5.172413793103448,78.44827586206897,16.379310344827587,92.5,7.5,3.0,0.0,0.0,2.7,1.1,15.1,4.1,12.3,19.2,23.3,20.5,0.0,2.7,97.3,90.4
Hampton School District 29,IL,237.0,Hybrid,No,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,270,9.25925925925926,90.74074074074075,0.0,98.1,14.8,0.0,0.0,0.0,2.2,0.0,13.9,2.2,2.2,25.0,16.7,30.6,5.6,2.2,100.0,88.9
River Ridge Community Unit Schl Dist 210,IL,510.0,Hybrid,Unknown,No,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Closed 6-14 days,No,355,5.633802816901408,57.74647887323944,36.61971830985915,100.0,3.7,1.0,0.0,1.0,1.7,1.7,8.3,14.6,20.8,12.5,14.6,16.7,6.3,1.7,97.9,95.8
Keeneyville Elementary School Dist 20,IL,1669.0,Online Only,No,Unknown,Yes,Yes,Required for all staff,Unknown,Unknown,Yes,Closed indefinitely,No,1655,14.803625377643504,85.1963746223565,0.0,65.8,14.0,6.8,11.0,9.5,4.7,1.8,5.1,4.7,12.7,13.1,10.9,25.5,10.5,11.6,95.3,95.3
Calhoun Comm Unit School District 40,IL,445.0,On Premises,No,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,525,4.761904761904762,71.42857142857143,23.80952380952381,100.0,0.7,0.0,0.0,3.3,10.0,1.3,13.3,3.3,6.7,21.7,15.0,18.3,8.3,1.3,95.0,75.0
Harrisburg Community Unit 3 School Dist,IL,1896.0,Hybrid,Unknown,Unknown,No,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Yes,2020,7.673267326732673,56.43564356435643,35.89108910891089,93.7,10.6,0.2,2.4,0.6,5.3,7.4,12.0,9.2,15.8,22.9,8.1,9.5,8.1,1.8,92.6,81.7
Hartsburg Emden District 21,IL,239.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,205,0.0,75.60975609756098,24.390243902439025,100.0,1.6,7.8,0.0,0.0,0.0,2.8,2.8,13.8,13.8,13.8,24.1,27.6,2.8,2.8,100.0,89.7
Harvard Community Unit School Dist 50,IL,2490.0,Online Only,No,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,2910,8.934707903780069,72.16494845360825,18.900343642611684,95.4,0.0,0.0,0.0,5.0,7.1,3.2,2.9,14.2,15.6,18.3,9.7,21.2,4.7,3.2,98.2,90.6
Harvey Public School District 152,IL,2320.0,Online Only,Unknown,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Unknown,Unknown,Unknown,1890,7.407407407407407,92.5925925925926,0.0,14.8,74.0,2.7,1.6,15.0,17.0,6.1,17.5,17.5,11.4,21.0,7.0,2.6,0.0,0.3,91.3,80.8
West Harvey-Dixmoor Public Schl Dist 147,IL,1032.0,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Closed indefinitely,No,1405,9.252669039145907,90.74733096085409,0.0,36.1,48.1,2.7,0.0,18.6,24.0,7.7,13.3,24.5,15.3,8.2,3.1,4.1,0.0,0.0,86.7,78.6
Union Ridge School District 86,IL,655.0,Hybrid,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,550,22.727272727272727,77.27272727272727,0.0,89.6,0.6,0.0,7.5,2.2,2.6,0.0,10.4,16.9,13.0,24.7,18.2,13.0,1.0,1.0,93.5,88.3
Havana Community School District 126,IL,920.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Pending,Never closed,Yes,995,5.025125628140704,61.80904522613066,33.165829145728644,100.0,0.4,0.0,0.0,0.0,7.4,9.4,16.1,6.0,15.4,18.1,6.0,19.5,0.0,1.3,98.0,91.9
Hazel Crest School District 152 1 Half,IL,981.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,980,9.693877551020408,90.3061224489796,0.0,15.3,84.7,0.0,0.0,0.0,19.5,6.0,14.3,9.0,13.5,16.5,6.8,6.0,0.0,8.3,96.2,83.5
