DistrictName,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,# K-12,% Kindergarten,% 1st-8th,% 9th-12th,White,Black_AfricanAmerican,NativeAmerican,Asian,Other,<$10k,$10k-$15k,$15k-$25k,$25k-$35k,$35k-$50k,$50k-$75k,$75k-$100k,$100k-$150k,$150k-$200k,$200k<,% with Computer,% with Internet
Menominee Area Public Schools,MI,1609.0,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,1605,7.165109034267913,57.00934579439252,35.82554517133956,99.7,1.8,3.3,0.6,0.2,4.7,3.3,8.4,7.4,7.9,35.8,7.4,18.1,2.8,4.7,99.1,94.0
Merrill Community School District,MI,712.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,955,6.806282722513089,69.10994764397905,24.083769633507853,97.7,4.1,0.9,0.0,1.8,4.2,3.4,7.6,5.9,21.2,13.6,17.8,21.2,2.5,3.4,93.2,78.8
Mesick Consolidated School District,MI,1475.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,765,5.882352941176471,59.47712418300654,34.64052287581699,98.8,1.8,0.5,2.4,0.5,4.2,5.3,5.3,10.5,23.2,28.4,12.6,8.4,0.8,0.8,94.7,72.6
Michigan Center School District,MI,1577.0,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,980,6.122448979591836,64.28571428571429,29.591836734693878,95.5,5.5,6.5,1.5,1.0,0.0,0.0,20.5,12.0,7.7,15.4,23.1,15.4,5.1,0.7,94.9,84.6
Fulton Public Schools,MI,775.0,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Required for high school students only,Yes,Unknown,Unknown,Unknown,850,8.235294117647058,62.35294117647059,29.41176470588235,100.0,2.1,1.6,1.0,1.0,5.7,1.9,5.7,5.7,9.4,22.6,22.6,13.2,10.4,2.8,96.2,81.1
Thornapple Kellogg Schools,MI,3049.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,3190,7.210031347962382,68.80877742946709,23.981191222570533,96.0,5.2,0.1,1.2,1.3,2.8,0.0,1.0,4.1,11.4,32.7,16.7,22.5,5.3,3.8,96.7,92.2
Bullock Creek School District,MI,1873.0,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1495,6.0200668896321075,61.87290969899666,32.10702341137124,97.7,2.9,0.3,1.0,2.3,6.9,4.5,7.4,3.5,10.9,17.3,16.3,26.7,2.5,3.5,91.1,82.7
Midland Public Schools,MI,7818.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,8640,7.581018518518518,61.574074074074076,30.84490740740741,92.8,3.5,0.8,5.1,1.3,2.9,2.5,4.3,5.3,9.9,18.5,16.5,18.3,10.6,11.2,98.2,90.6
Milan Area School District,MI,2219.0,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2285,12.035010940919037,57.11159737417943,30.85339168490153,96.0,2.1,3.6,2.5,2.5,1.0,1.7,1.0,5.6,4.9,18.5,24.8,26.6,10.1,5.6,99.3,92.3
Millington Community Schools,MI,1190.0,Online Only,Yes,No,No,Unknown,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,1100,9.090909090909092,65.0,25.90909090909091,95.2,2.2,0.0,4.0,1.3,4.3,1.9,6.2,1.2,13.0,25.3,19.8,17.3,10.5,1.9,100.0,85.2
Mio-Ausable School District,MI,520.0,Hybrid,Yes,Yes,No,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,575,5.217391304347826,56.52173913043478,38.26086956521739,97.8,2.2,0.6,0.0,0.0,9.8,4.3,8.7,9.8,14.1,27.2,8.7,10.9,2.2,5.4,78.3,56.5
Monroe Public Schools,MI,6266.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,7330,7.3669849931787175,61.186903137789905,31.446111869031377,94.1,8.9,1.6,1.3,0.7,5.9,3.5,7.9,6.7,12.2,16.5,16.9,16.4,9.5,4.4,98.7,87.0
Montague Area Public School District,MI,1602.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,1460,6.164383561643835,58.21917808219178,35.61643835616438,97.0,0.6,1.7,0.2,2.5,2.7,0.4,6.5,9.2,14.1,26.1,19.6,15.8,2.7,1.6,98.4,87.5
Montrose Community School District,MI,1643.0,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1125,9.333333333333334,68.0,22.666666666666668,98.6,5.7,0.0,0.0,0.0,3.2,1.9,7.8,5.2,13.6,42.9,8.4,14.3,0.0,1.3,94.2,91.6
Morenci Area School District,MI,897.0,Hybrid,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,845,4.733727810650888,61.53846153846154,33.72781065088758,96.0,1.1,4.0,0.5,0.5,3.4,0.0,8.0,16.1,21.8,23.0,11.5,11.5,2.3,2.3,100.0,90.8
Morley-Stanwood Community Schl District,MI,1171.0,On Premises,Yes,Unknown,Yes,No,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,1680,6.5476190476190474,65.47619047619048,27.976190476190474,98.9,0.5,1.6,0.2,0.7,2.1,3.6,9.2,10.8,16.9,23.6,9.2,14.4,5.6,4.1,93.3,80.0
Morrice Area Schools,MI,511.0,On Premises,Yes,Yes,No,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,940,7.9787234042553195,59.04255319148936,32.97872340425532,100.0,0.0,0.0,1.6,0.0,0.0,3.9,7.8,2.9,6.8,30.1,17.5,13.6,11.7,5.8,100.0,95.1
Mount Clemens Community School District,MI,1174.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,3140,8.439490445859873,60.50955414012739,31.05095541401274,63.0,39.3,2.7,0.0,3.6,10.1,8.1,13.4,6.6,15.4,17.4,14.5,12.1,1.5,1.1,93.8,87.9
Mt Morris Consolidated School District,MI,1792.0,Unknown,Unknown,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Unknown,1775,7.323943661971831,60.84507042253521,31.830985915492956,88.0,13.0,1.9,2.7,2.7,5.0,4.2,17.1,16.7,24.2,16.3,7.5,8.3,0.0,0.8,97.9,79.6
Beal City School District,MI,695.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Unknown,445,11.235955056179776,61.79775280898876,26.96629213483146,97.0,3.0,0.0,3.0,0.0,4.8,9.7,4.8,8.1,14.5,19.4,4.8,19.4,11.3,1.3,100.0,83.9
Mount Pleasant Public School District,MI,4778.0,Online Only,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,4705,6.588735387885229,64.39957492029755,29.011689691817217,81.1,8.7,15.2,6.2,2.1,8.6,7.9,6.4,8.4,9.4,21.8,12.3,12.6,7.4,4.7,95.8,87.9
Munising Public Schools,MI,668.0,Online Only,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Unknown,Unknown,605,13.223140495867769,64.46280991735537,22.31404958677686,94.7,0.6,11.5,2.3,3.1,3.1,3.1,18.8,12.5,9.4,17.2,17.2,12.5,6.3,1.3,100.0,92.2
Muskegon Heights Pub Schl Academy System,MI,880.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,2170,13.36405529953917,60.8294930875576,25.806451612903224,26.5,82.0,2.2,0.0,1.7000000000000002,19.5,8.9,15.2,16.3,19.5,10.1,6.6,1.9,1.6,0.8,86.4,67.7
